lst,lon,lat,dist_to_industrial,is_industrial,factory_density,power_plant_flag,transport_hub_flag,road_density,impervious_ratio,dist_to_green,dist_to_water
8.781428,121.37137803738858,31.827310516354665,,0,0.0,0,0,2.945913327292998,0.003124453528947119,0.35850406134122753,1.5519754243367843
8.66,121.38036119022978,31.827310516354665,,0,0.0,0,0,2.4230455938773576,0.0024740570800642495,1.1664525120985418,1.592990977177214
9.259091,121.19171498056468,31.81832736351347,,0,0.0,0,0,2.3210226215035745,0.002321022621503574,4.791065896577636,0.6920655657628978
9.756667,121.20069813340588,31.81832736351347,,0,0.0,0,0,2.7801259971856,0.0027801259971855998,4.318821655755481,0.16778907389844486
10.085,121.20968128624708,31.81832736351347,,0,0.0,0,0,2.945913327292998,0.002945913327292998,3.974582227022506,0.2530011043194168
9.605385,121.21866443908827,31.81832736351347,,0,0.0,0,0,3.7110856200963744,0.0037110856200963742,3.7933556485158024,0.7451763799624974
9.516154,121.22764759192947,31.81832736351347,5.036785880247182,0,0.0,0,0,4.0044016656710015,0.004004401665671001,3.798543756941325,1.1057366343158328
9.461667,121.23663074477066,31.81832736351347,4.332531069997154,0,0.0,0,0,4.437999298259582,0.004437999298259582,3.9868941127345567,1.2524329232292601
9.72,121.24561389761186,31.81832736351347,3.690349906405094,0,0.0,0,0,4.90985554548833,0.00490985554548833,4.336545791581272,1.3976335751930515
9.75,121.25459705045304,31.81832736351347,3.1484548073712153,0,0.0,0,0,5.407217535810525,0.005407217535810524,4.812798898139316,1.5435815983309498
9.75,121.26358020329424,31.81832736351347,2.7664175545049825,0,0.0,0,0,5.802556553758936,0.005802556553758936,5.382148374311808,1.6884174379716117
9.79,121.27256335613544,31.81832736351347,2.6022040739194017,0,0.0,0,0,5.9810967554130565,0.005981096755413057,4.536666338180153,1.6777444067183025
9.863334,121.28154650897663,31.81832736351347,2.627566521791331,0,0.0,0,0,6.032108241599949,0.00621064844325407,3.687630309069766,1.4993719525553943
9.583333,121.29052966181783,31.81832736351347,2.9123236968604713,0,0.0,0,0,5.891826654585996,0.006070366856240117,2.8394521688849435,1.3121255906398341
9.49,121.29951281465902,31.81832736351347,3.3919482857476835,0,0.0,0,0,5.917332397679442,0.006095872599333563,1.9932236712634694,1.0738177546407146
9.6883335,121.30849596750022,31.81832736351347,3.996891635746335,0,0.0,0,0,5.917332397679442,0.006095872599333563,1.1532382725903623,0.8360022398210387
9.786667,121.31747912034142,31.81832736351347,4.6787929512436275,0,0.0,0,0,6.0831197277868405,0.006261659929440961,0.3429127420271832,0.5926781593929558
9.775,121.32646227318261,31.81832736351347,5.408620980056065,0,0.0,0,0,5.77705081066549,0.00595559101231961,0.0,0.13943914565318238
9.45923,121.33544542602381,31.81832736351347,,0,0.0,0,0,5.483734765090863,0.005662274966744983,0.0,0.16214544108353082
9.431539,121.344428578865,31.81832736351347,,0,0.0,0,0,4.986372774768668,0.005164912976422789,0.7414343108257858,0.0
9.323846,121.3534117317062,31.81832736351347,,0,0.0,0,0,4.514516527539919,0.00469305672919404,1.3388562213708939,0.17294784055324935
9.355,121.3623948845474,31.81832736351347,,0,0.0,0,0,3.8896258217504953,0.004068166023404617,0.8751947918044368,0.37934164266562087
9.355,121.37137803738858,31.81832736351347,,0,0.0,0,0,3.341252345241409,0.00351979254689553,0.9230416777890187,0.5858030098020536
8.846923,121.38036119022978,31.81832736351347,6.3162069454386485,0,0.0,0,0,2.831137483372492,0.0028821489695593835,1.522968398400993,0.704883144045563
8.766923,121.38934434307097,31.81832736351347,5.993743731456388,0,0.0,0,0,2.2317525206765136,0.0022317525206765137,2.287613077668168,0.996865627463775
8.837273,121.18273182772349,31.809344210672272,,0,0.0,0,0,2.3465283645970203,0.00234652836459702,4.258163006986003,1.2572069682075928
9.608182,121.19171498056468,31.809344210672272,,0,0.0,0,0,2.6653501532650936,0.0026653501532650932,4.053779795168085,0.40858702991178075
9.858334,121.20069813340588,31.809344210672272,,0,0.0,0,0,3.137206400493842,0.003137206400493842,3.482907596051108,0.36541910531531213
9.59,121.20968128624708,31.809344210672272,,0,0.0,0,0,3.328499473694686,0.003328499473694686,3.045566516260217,1.065987109655218
9.446923,121.21866443908827,31.809344210672272,,0,0.0,0,0,4.119177509591508,0.004119177509591508,2.8049251979420338,0.704611021924512
9.443846,121.22764759192947,31.809344210672272,5.618873940769384,0,0.0,0,0,4.4890107844464735,0.004489010784446473,2.8117923934982243,0.3685384541780248
9.660769,121.23663074477066,31.809344210672272,4.9972689447740954,0,0.0,0,0,4.935361288581776,0.004935361288581776,3.060969064798541,0.9453535662139617
10.01,121.24561389761186,31.809344210672272,4.451969580651896,0,0.0,0,0,5.3562060496236334,0.005356206049623633,3.504303218677856,1.7592978425148047
9.711818,121.25459705045304,31.809344210672272,4.014192057336092,0,0.0,0,0,5.8408151683991045,0.005840815168399105,4.078969186892835,2.179086491418388
9.766364,121.26358020329424,31.809344210672272,3.7220687751795642,0,0.0,0,0,6.159636957067178,0.006159636957067178,4.733797232318076,2.59753190955298
9.61,121.27256335613544,31.809344210672272,3.591994757772198,0,0.0,0,0,6.274412800987684,0.006274412800987684,4.593838872449428,2.65185760784558
9.61,121.28154650897663,31.809344210672272,3.6102308048864264,0,0.0,0,0,6.401941516454913,0.006580481718109034,3.7576526285716,2.4724397579454807
9.388333,121.29052966181783,31.809344210672272,3.8224889653888456,0,0.0,0,0,6.29991854408113,0.006478458745735251,2.929724661628476,2.2681699869500602
9.078333,121.29951281465902,31.809344210672272,4.199449710182398,0,0.0,0,0,6.312671415627853,0.006491211617281974,2.119750150524094,2.0300979232762413
9.305,121.30849596750022,31.809344210672272,4.70166138104629,0,0.0,0,0,6.29991854408113,0.006478458745735251,1.3601841273652089,1.7903802914665161
9.518333,121.31747912034142,31.809344210672272,5.293593576104878,0,0.0,0,0,6.376435773361468,0.0065549759750155884,0.795339641819512,1.3816756584515943
9.825,121.32646227318261,31.809344210672272,5.94852107839131,0,0.0,0,0,6.108625470880286,0.006287165672534407,0.3642694778236067,0.8963813358508371
9.654615,121.33544542602381,31.809344210672272,,0,0.0,0,0,5.802556553758936,0.005981096755413057,0.3950693849025151,0.9807207737128945
9.657692,121.344428578865,31.809344210672272,,0,0.0,0,0,5.368958921170356,0.005547499122824477,1.1598837469112844,0.926324115615506
9.608461,121.3534117317062,31.809344210672272,,0,0.0,0,0,4.8715969308481615,0.005050137132502282,1.9197137740843309,0.7219001994397173
9.414616,121.3623948845474,31.809344210672272,6.469222191329589,0,0.0,0,0,4.284964839698906,0.004463505041353027,1.8502280412287413,0.5164712053271655
9.205384,121.37137803738858,31.809344210672272,5.914912045941038,0,0.0,0,0,3.73659136318982,0.003915131564843941,1.8608855444410688,0.3110495921414286
9.180769,121.38036119022978,31.809344210672272,5.4377327185525495,0,0.0,0,0,3.21372362977418,0.0032647351159610714,2.220462906423673,0.10388226889260449
9.180769,121.38934434307097,31.809344210672272,5.059553292123236,0,0.0,0,0,2.601585795531479,0.002601585795531479,2.8007981363976087,0.03074775663804794
9.020769,121.39832749591217,31.809344210672272,4.803810750891591,0,0.0,0,0,2.2445053922232368,0.0022445053922232365,3.493554804230276,0.42182101502528424
8.635,121.17374867488229,31.800361057831076,,0,0.0,0,0,2.2317525206765136,0.0022317525206765137,3.4134585450442234,0.09215302415943703
9.046667,121.18273182772349,31.800361057831076,,0,0.0,0,0,2.754620254092154,0.002754620254092154,3.263087626527913,0.937535614792732
9.421667,121.19171498056468,31.800361057831076,,0,0.0,0,0,3.188217886680734,0.0031882178866807337,3.3303836160230427,0.5104642687226995
9.421667,121.20069813340588,31.800361057831076,,0,0.0,0,0,3.723838491643097,0.003723838491643097,2.755586334036244,0.2596055414132077
9.455,121.20968128624708,31.800361057831076,,0,0.0,0,0,4.119177509591508,0.004119177509591508,2.1766547332171284,0.9532105857045594
9.202308,121.21866443908827,31.800361057831076,,0,0.0,0,0,4.846091187754715,0.004846091187754716,1.824783701323007,0.5394815011119192
9.422308,121.22764759192947,31.800361057831076,6.305425083501667,0,0.0,0,0,5.1139014902358975,0.005113901490235897,1.8342256047729768,0.26064900837754185
9.622308,121.23663074477066,31.800361057831076,5.758356561737654,0,0.0,0,0,5.547499122824477,0.005547499122824477,2.197247452097272,0.9268093580241734
9.883333,121.24561389761186,31.800361057831076,5.292020313949458,0,0.0,0,0,5.9810967554130565,0.005981096755413057,2.781636509869155,1.0530634945373585
9.825,121.25459705045304,31.800361057831076,4.929380934976628,0,0.0,0,0,6.350930030268022,0.006350930030268022,3.470392862265233,1.2902454036346562
9.651818,121.26358020329424,31.800361057831076,4.694529514991116,0,0.0,0,0,6.631493204295927,0.006631493204295926,4.218648602232753,1.9136394803104364
